depth_km,vp_km_s,vs_km_s
0.0,4.3695,2.539
0.5,4.4565,2.593
1.0,4.544,2.647
1.5,4.632,2.7024999999999997
2.0,4.72,2.773
3.0,4.918,2.891
4.0,5.127,3.0275
5.0,5.305,3.1334999999999997
6.0,5.436,3.208
7.0,5.563,3.2855
8.0,5.659,3.344
9.0,5.7455,3.391
10.0,5.824,3.4305000000000003
11.0,5.883,3.4675000000000002
12.0,5.93,3.4905
13.0,5.965,3.5
14.0,5.9625,3.505
15.0,5.964,3.511
16.0,5.978,3.516
17.0,5.9775,3.5084999999999997
18.0,5.947,3.491
19.0,5.933,3.484
20.0,5.952500000000001,3.495
21.0,5.9775,3.508
22.0,6.005,3.523
23.0,6.0275,3.535
24.0,6.041,3.542
25.0,6.093500000000001,3.57
26.0,6.148,3.597
27.0,6.163,3.605
28.0,7.168,4.117
29.0,7.199,4.133
30.0,7.228,4.148
31.0,7.255,4.162
32.0,7.282,4.176
33.0,8.1445,4.632
34.0,8.19,4.656
35.0,8.2,4.662
36.0,8.21,4.667
37.0,8.219,4.673
38.0,8.228,4.678
39.0,8.238,4.684
40.0,8.248,4.689
41.0,8.257,4.694
42.0,8.266,4.699
43.0,8.274,4.704
44.0,8.284,4.71
45.0,8.294,4.716
46.0,8.303,4.721
47.0,8.313,4.727
48.0,8.322,4.732
49.0,8.333,4.738
50.0,8.344,4.745
51.0,8.351,4.749
52.0,8.36,4.755
53.0,8.37,4.76
54.0,8.379,4.765
55.0,8.388,4.771
56.0,8.397,4.776
57.0,8.407,4.782
58.0,8.418,4.789
59.0,8.432,4.797
60.0,8.448,4.806
